averagePick,draftsSelectedIn,id,maxPick,minPick,name,position,status,team,TEAM_COUNT,PPR_FLG
205.17,12,11677,345,7,"Moncrief, Donte",WR,R,IND,8,1
205.47,17,9144,392,98,"Douglas, Harry",WR,,ATL,8,1
205.70,10,9456,368,90,"Brown, Donald",RB,,SDC,8,1
207.11,9,8275,291,97,"Jackson, D'Qwell",LB,,IND,8,1
207.38,8,11678,328,97,"Robinson, Allen",WR,R,JAC,8,1
207.67,9,11783,342,107,"Brown, John",WR,R,ARI,8,1
208.38,8,8838,310,107,"Celek, Brent",TE,,PHI,8,1
208.64,11,10355,311,146,"Helu, Roy",RB,,WAS,8,1
210.56,9,10264,372,97,"Amukamara, Prince",CB,,NYG,8,1
211.40,15,4891,337,125,"Vick, Michael",QB,,NYJ,8,1
211.75,8,9838,344,101,"Gresham, Jermaine",TE,,CIN,8,1
212.00,9,10779,388,106,"Jenkins, Janoris",CB,,STL,8,1
213.00,10,10955,365,24,"Streater, Rod",WR,,OAK,8,1
215.00,10,8375,320,98,"Williams, Kyle",DT,,BUF,8,1
216.20,10,11198,334,98,"Lattimore, Marcus",RB,,FA,8,1
218.27,15,10300,366,117,"Rodgers, Jacquizz",RB,,ATL,8,1
221.12,8,9442,303,167,"Johnson, Michael",DE,,TBB,8,1
221.27,11,8357,312,152,"Tulloch, Stephen",LB,,DET,8,1
223.62,13,10812,347,32,"Hillman, Ronnie",RB,,DEN,8,1
224.56,9,11656,339,138,"Sims, Charles",RB,R,TBB,8,1
224.64,11,10905,355,125,"Brown, Bryce",RB,,BUF,8,1
229.12,8,9927,362,108,"Williams, Mike",WR,,FA,8,1
237.89,9,9843,386,134,"LaFell, Brandon",WR,,NEP,8,1
246.38,8,9041,348,123,"Avril, Cliff",DE,,SEA,8,1
